unique_id,unique_plot,date,block,plot_id,row,column,x,y,min,q05,q50,q95,max,mean,cv,entropy,volume,coverage,plot_quality,plot_area
2272,B01_P0072,2021-07-01,B01,P0072,7,6,755766.357509999,5176817.50634251,0.188812255859375,0.425949096679688,0.548294067382812,0.580223083496094,0.60406494140625,0.530404108552539,0.0942769561869151,2.68560003182204,1.38512994378398,1,0.315857020006316,2.51999999955297
2422,B01_P0002,2021-07-13,B01,P0002,1,10,755759.844799113,5176793.74332964,0.04473876953125,0.0818283081054687,0.22943115234375,0.351905822753906,0.39068603515625,0.230868403116862,0.357818668149255,3.40474951629269,0.680769546878137,0.916666666666667,0.126942020904521,2.51999999955297
2426,B01_P0006,2021-07-13,B01,P0006,1,6,755766.326106127,5176793.77762613,0.055999755859375,0.189027404785156,0.464859008789062,0.554844665527344,0.5654296875,0.42630615234375,0.277931031560223,3.49735555352613,1.25706351429786,0.995833333333333,0.109496648591358,2.51999999943655
2479,B01_P0059,2021-07-13,B01,P0059,6,4,755769.592929822,5176813.56876032,0.107940673828125,0.187033081054687,0.48944091796875,0.646296691894531,0.671783447265625,0.461541239420573,0.331157901219693,3.82182694358722,1.36096241921365,1,0.0263135730066618,2.51999999943655
2492,B01_P0072,2021-07-13,B01,P0072,7,6,755766.357509999,5176817.50634251,0.197296142578125,0.278010559082031,0.538589477539062,0.613294982910156,0.6224365234375,0.495183817545573,0.222760068559615,3.37769399890305,1.46016543858212,1,0.140815256652577,2.51999999955297
2642,B01_P0002,2021-07-19,B01,P0002,1,10,755759.844799113,5176793.74332964,0.19903564453125,0.252821350097656,0.396072387695312,0.546589660644531,0.561920166015625,0.398737575999922,0.227349442115926,3.51138020415662,1.06421373521669,1,0.129972205909562,2.51999999955297
2646,B01_P0006,2021-07-19,B01,P0006,1,6,755766.326106127,5176793.77762613,0.019317626953125,0.216313171386719,0.495346069335938,0.58929443359375,0.604217529296875,0.46385099829697,0.255370145383656,3.56976227579295,1.21414358231833,0.986788617886179,0.115002727986347,2.51999999943655
2699,B01_P0059,2021-07-19,B01,P0059,6,4,755769.592929822,5176813.56876032,0.200347900390625,0.335006713867188,0.625457763671875,0.704376220703125,0.7152099609375,0.586375334466785,0.190788384594612,3.50009301852417,1.51353719779396,1,0.133296189594107,2.51999999943655
2712,B01_P0072,2021-07-19,B01,P0072,7,6,755766.357509999,5176817.50634251,0.1072998046875,0.280638122558594,0.628631591796875,0.6776123046875,0.688262939453125,0.565012706973688,0.230153122009769,3.37096894228872,1.47893731956832,1,0.164567248065918,2.51999999955297
2862,B01_P0002,2021-07-20,B01,P0002,1,10,755759.844799113,5176793.74332964,0.171112060546875,0.236279296875,0.47650146484375,0.538899230957031,0.551239013671875,0.443567665577498,0.201352769522987,3.2761956432736,1.15854418802528,1,0.0970536070002701,2.51999999955297
2866,B01_P0006,2021-07-20,B01,P0006,1,6,755766.326106127,5176793.77762613,0.111236572265625,0.256289672851563,0.496612548828125,0.558283996582031,0.58416748046875,0.467795832875813,0.189790626268938,3.19281188822297,1.20595732168616,1,0.120141709875806,2.51999999943655
2919,B01_P0059,2021-07-20,B01,P0059,6,4,755769.592929822,5176813.56876032,0.25115966796875,0.403236389160156,0.608810424804688,0.671218872070312,0.6849365234375,0.59083174765808,0.134382369727417,3.10353179241436,1.55593341093372,1,0.145452109594153,2.51999999943655
2932,B01_P0072,2021-07-20,B01,P0072,7,6,755766.357509999,5176817.50634251,0.10638427734375,0.396453857421875,0.51806640625,0.616627502441406,0.63543701171875,0.516153283777879,0.14296122760343,3.22639149100761,1.34812889544706,1,0.111583836381885,2.51999999955297
3082,B01_P0002,2021-07-26,B01,P0002,1,10,755759.844799113,5176793.74332964,0.21502685546875,0.292576599121094,0.412612915039062,0.467433166503906,0.49969482421875,0.398869847566887,0.13467764026409,2.98068756822068,1.04802396756311,1,0.246224375293879,2.51999999955297
3086,B01_P0006,2021-07-26,B01,P0006,1,6,755766.326106127,5176793.77762613,0.086761474609375,0.376504516601562,0.5406494140625,0.594366455078125,0.6123046875,0.517669978894685,0.138242885701932,3.071838771092,1.36016935970208,0.999401913875598,0.223179528663898,2.51999999943655
3139,B01_P0059,2021-07-26,B01,P0059,6,4,755769.592929822,5176813.56876032,0.35308837890625,0.416120910644531,0.617935180664062,0.678945922851563,0.685577392578125,0.58591054158918,0.145624508090292,3.16723309093893,1.5394703163928,1,0.199020566307789,2.51999999943655
3152,B01_P0072,2021-07-26,B01,P0072,7,6,755766.357509999,5176817.50634251,0.2935791015625,0.448497009277344,0.629425048828125,0.689656066894531,0.711883544921875,0.605317600208222,0.127152905206306,3.23423206337355,1.55431517925289,1,0.182308803432531,2.51999999955297
