name_muni,abbrev_state,lon,lat
Floresta Do Araguaia,PA,-49.5761027914873,-7.54838186404596
Garrafão Do Norte,PA,-47.0752456189048,-2.16790163254541
Goianésia Do Pará,PA,-49.0057081645656,-4.02720985156415
Gurupá,PA,-51.5551599147582,-1.1518430535778
Igarapé-Açu,PA,-47.5659148785953,-1.14491575618599
Igarapé-Miri,PA,-49.1307363181756,-2.06261188583063
Inhangapi,PA,-47.922956796151,-1.46487359044091
Ipixuna Do Pará,PA,-47.921555256747,-2.80581599162537
Irituia,PA,-47.3994161578615,-1.81232950922602
Itaituba,PA,-56.4967038771992,-5.87116076477307
Itupiranga,PA,-49.8696837413961,-5.11487549305721
Jacareacanga,PA,-57.3027216791093,-7.44531107362915
Jacundá,PA,-49.181045081906,-4.59857961491729
Juruti,PA,-56.2214740334425,-2.62311800060858
Limoeiro Do Ajuru,PA,-49.4691443871396,-1.86424952151457
Mãe Do Rio,PA,-47.512474394157,-1.99118897761503
Magalhães Barata,PA,-47.6351413017851,-0.809437004802271
Marabá,PA,-50.0170410801097,-5.62982493500501
Maracanã,PA,-47.4965434829592,-0.802297875856748
Marapanim,PA,-47.7090002882058,-0.840710359283579
Marituba,PA,-48.3198524658799,-1.39747518965622
Medicilândia,PA,-53.1949703655541,-3.16020708579646
Melgaço,PA,-51.1039284776141,-1.60764536773897
Mocajuba,PA,-49.4663216346102,-2.57665186297966
Moju,PA,-49.0740728563122,-2.68393309828679
Monte Alegre,PA,-54.3530259750515,-1.07440524199576
Muaná,PA,-49.3094009935384,-1.35548095402769
Nova Esperança Do Piriá,PA,-46.8999048799096,-2.39268742255658
Nova Ipixuna,PA,-49.2307912326893,-4.98100672990142
Nova Timboteua,PA,-47.3921432065344,-1.15640027810204
Novo Progresso,PA,-55.6120281558077,-8.06196069527965
Novo Repartimento,PA,-50.2715844203617,-4.50292664512426
Óbidos,PA,-55.6749886630313,-0.169943630732332
Oeiras Do Pará,PA,-49.9023029707264,-2.27899035364226
Oriximiná,PA,-57.1498561496919,0.255087092418688
Ourém,PA,-47.1393678358098,-1.49594362880766
Ourilândia Do Norte,PA,-51.4309459673205,-7.52052002215098
Pacajá,PA,-50.6316360441779,-3.68418593542236
Palestina Do Pará,PA,-48.3702049229799,-5.92717755552954
Paragominas,PA,-47.6031429205718,-3.20342807678897
Parauapebas,PA,-50.4898843171351,-6.15165094643671
Pau D'arco,PA,-50.1236548239706,-7.73698245985678
Peixe-Boi,PA,-47.2719294007574,-1.13090646605629
Piçarra,PA,-49.0118602045897,-6.54102375757136
Placas,PA,-54.5006585757584,-3.88985307260993
Ponta De Pedras,PA,-49.0773748388897,-1.11750045962895
Portel,PA,-50.955657618491,-2.5654301451147
Porto De Moz,PA,-52.5477649132844,-2.18461222071854
Prainha,PA,-53.6601919119077,-2.12032781810839
Primavera,PA,-47.131348464264,-0.952716566820722
Quatipuru,PA,-47.0159862089138,-0.851463331531324
Redenção,PA,-50.1981327384449,-8.06933323544323
Rio Maria,PA,-49.8953824229914,-7.3406200666406
Rondon Do Pará,PA,-48.4599326129538,-4.5169786407588
Rurópolis,PA,-55.210806973637,-4.24100046837217
Salinópolis,PA,-47.3490054324939,-0.680330266082414
Salvaterra,PA,-48.6091948312514,-0.801408933688951
Santa Bárbara Do Pará,PA,-48.2505000352946,-1.19427317994538
Santa Cruz Do Arari,PA,-49.3138812753822,-0.583404084686831
Santa Isabel Do Pará,PA,-48.1294567912517,-1.3652186763501
Santa Luzia Do Pará,PA,-46.9271161596078,-1.65751136139861
Santa Maria Das Barreiras,PA,-50.3143938373604,-8.63378885979586
Santa Maria Do Pará,PA,-47.5216823020942,-1.37450367633661
Santana Do Araguaia,PA,-50.6112987558962,-9.3639368397574
Santarém,PA,-55.0936591308685,-2.76453274273281
Santarém Novo,PA,-47.332956749575,-0.913339946992447
Santo Antônio Do Tauá,PA,-48.1830340941234,-1.09304967302665
São Caetano De Odivelas,PA,-48.0787004417677,-0.791320325262307
São Domingos Do Araguaia,PA,-48.7305920621566,-5.65761262912038
São Domingos Do Capim,PA,-47.7717549638666,-1.88390827288938
São Félix Do Xingu,PA,-52.2527455200404,-7.23328885800403
São Francisco Do Pará,PA,-47.7467686794091,-1.20602065354295
São Geraldo Do Araguaia,PA,-48.7482088513506,-6.18924506651344
São João Da Ponta,PA,-47.9645031382563,-0.870363217007682
São João De Pirabas,PA,-47.2121771512711,-0.780300423363323
São João Do Araguaia,PA,-48.6967511879065,-5.44729691404482
São Miguel Do Guamá,PA,-47.6112634245571,-1.55265970866129
São Sebastião Da Boa Vista,PA,-49.6802907205177,-1.43405855230316
Sapucaia,PA,-49.5699251243701,-6.83892724665099
Senador José Porfírio,PA,-51.7738462945629,-4.16967001561043
Soure,PA,-48.6371008176074,-0.492809939434268
Tailândia,PA,-48.7366831358835,-2.90781947047008
Terra Alta,PA,-47.8482695820752,-1.00293104379204
Terra Santa,PA,-56.4583222006282,-1.95160758545522
Tomé-Açu,PA,-48.2675521502556,-2.63602508275882
Tracuateua,PA,-46.9339781243884,-1.02498197486724
Trairão,PA,-56.0034836378592,-5.1302045553716
Tucumã,PA,-51.3913873051318,-6.82015976528956
Tucuruí,PA,-49.8210432645126,-3.85599654908445
Ulianópolis,PA,-47.4936142050527,-3.80983205611933
Uruará,PA,-53.8073545999809,-3.58360042406482
Vigia,PA,-48.1379397665754,-0.8882912420361
Viseu,PA,-46.4550942800852,-1.53103965872608
Vitória Do Xingu,PA,-51.9739743189891,-3.13520498392062
Xinguara,PA,-49.6352920136863,-6.91790787642114
Serra Do Navio,AP,-52.2704813375674,1.64963468072092
Amapá,AP,-50.581118229965,1.76441849759011
Pedra Branca Do Amapari,AP,-52.5237351936228,1.15798752251476
Calçoene,AP,-51.404333383495,2.43097294560961
Cutias,AP,-50.4839773805092,1.03056942282432
Ferreira Gomes,AP,-51.4193165028428,0.959050799438856
Itaubal,AP,-50.6516456390167,0.532298044529624
Laranjal Do Jari,AP,-53.3058510871153,1.09659298136963
Macapá,AP,-50.7008655957712,0.555036846460968
Mazagão,AP,-51.9439554218461,-0.0729542686642734
Oiapoque,AP,-51.9049090391136,3.08845817250323
Porto Grande,AP,-51.6736577364686,0.587858924917848
Pracuúba,AP,-51.2768866423297,1.62547727184043
Santana,AP,-51.3791804605543,0.128296930242916
Tartarugalzinho,AP,-50.9854368373218,1.29437272938615
Vitória Do Jari,AP,-52.0612047258107,-0.99784771159281
Abreulândia,TO,-49.3098395665644,-9.48043486634977
Aguiarnópolis,TO,-47.5135139167282,-6.48757518965627
Aliança Do Tocantins,TO,-48.9082067296058,-11.3321324851596
Almas,TO,-47.2103744509157,-11.4300589219117
Alvorada,TO,-49.1129750208076,-12.4084851913651
Ananás,TO,-48.1869686229426,-6.23236661607991
Angico,TO,-47.9130810295562,-6.43556739701257
Aparecida Do Rio Negro,TO,-48.0007049523162,-9.98791756107026
Aragominas,TO,-48.6330834388707,-6.94604404765815
Araguacema,TO,-49.50479709148,-8.93948164170154
Araguaçu,TO,-49.6964308077968,-12.8411747891775
Araguaína,TO,-48.5878806185268,-7.33165614216745
Araguanã,TO,-48.5252592289202,-6.79099133754831
Araguatins,TO,-48.1059021838914,-5.66550894026855
Arapoema,TO,-48.9997894055978,-7.72330662566788
Arraias,TO,-47.0477907285207,-12.8185879469474
Augustinópolis,TO,-47.9289811164032,-5.49832083550464
Aurora Do Tocantins,TO,-46.4187895376995,-12.6423294581695
Axixá Do Tocantins,TO,-47.7663649967926,-5.64560160166355
Babaçulândia,TO,-47.8557880669204,-7.17488315460407
Bandeirantes Do Tocantins,TO,-48.6756252905836,-7.90371567754911
Barra Do Ouro,TO,-47.5785626576046,-7.71731846335181
Barrolândia,TO,-48.791657191845,-9.86885257355548
Bernardo Sayão,TO,-48.9690715625133,-7.98321389945819
Bom Jesus Do Tocantins,TO,-47.8792429893392,-9.01280483314033
Brasilândia Do Tocantins,TO,-48.4428662001159,-8.29034591521724
Brejinho De Nazaré,TO,-48.6251038841368,-11.0294029339437
Buriti Do Tocantins,TO,-48.1384215980656,-5.33756474270868
Cachoeirinha,TO,-47.8416142645949,-6.09039094206476
Campos Lindos,TO,-46.8044215776749,-8.20347885167785
Cariri Do Tocantins,TO,-49.203166957658,-11.9339102377935
Carmolândia,TO,-48.3750222767452,-7.045546152588
Carrasco Bonito,TO,-48.0107140256247,-5.33652473728716
Caseara,TO,-49.8481136049509,-9.4003897479345
Centenário,TO,-47.4449751668654,-9.07402476341262
Chapada De Areia,TO,-49.1964619492271,-10.1656067281531
Chapada Da Natividade,TO,-47.8461972343624,-11.5418070392044
Colinas Do Tocantins,TO,-48.5298617571626,-8.07614268267079
Combinado,TO,-46.5036697168611,-12.846542505348
Conceição Do Tocantins,TO,-47.3035005027254,-12.1693451508018
Couto Magalhães,TO,-49.1624932908023,-8.4369124508615
Cristalândia,TO,-49.3132702191254,-10.6370908179408
Crixás Do Tocantins,TO,-49.073942792001,-11.1726121269037
Darcinópolis,TO,-47.768395466288,-6.76292311009604
Dianópolis,TO,-46.808896650399,-11.7002765000913
Divinópolis Do Tocantins,TO,-49.3549274372339,-9.69480202384074
Dois Irmãos Do Tocantins,TO,-49.0666013533874,-9.27134036651434
Dueré,TO,-49.3907853619609,-11.4285147026435
Esperantina,TO,-48.5408605492281,-5.32653168688002
Fátima,TO,-48.8745436098827,-10.8095547307719
Figueirópolis,TO,-49.2830397940427,-12.2642253295468
Filadélfia,TO,-47.7939811098168,-7.49689973577356
Formoso Do Araguaia,TO,-50.0981242595979,-11.9589988857711
Fortaleza Do Tabocão,TO,-48.5454886796222,-9.07239967941255
Goianorte,TO,-49.0099401437964,-8.87387030279106
Goiatins,TO,-47.4811820070462,-8.09380525291606
Guaraí,TO,-48.4414668268674,-8.73890471320115
